timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2025-03-12 10:09:01.502359,-0.449,-0.025,0.408,7.645,158.366,28.275
2025-03-12 10:09:01.555069,-0.422,-0.056,0.398,4.089,160.456,25.101
2025-03-12 10:09:01.607149,-0.378,-0.078,0.358,4.753,161.288,23.392
2025-03-12 10:09:01.659097,-0.438,-0.070,0.378,6.569,143.755,26.841
2025-03-12 10:09:01.710689,-0.428,-0.076,0.339,4.753,127.527,26.177
2025-03-12 10:09:01.762835,-0.473,-0.052,0.312,-0.649,121.241,21.599
2025-03-12 10:09:01.815782,-0.518,-0.022,0.254,-7.263,123.499,15.114
2025-03-12 10:09:01.868029,-0.597,-0.035,0.279,-13.832,122.950,10.529
2025-03-12 10:09:01.919466,-0.591,-0.006,0.220,-18.509,129.107,7.782
2025-03-12 10:09:01.972118,-0.715,-0.038,0.200,-20.661,139.208,7.721
2025-03-12 10:09:02.024153,-0.738,-0.019,0.151,-23.476,166.110,9.766
2025-03-12 10:09:02.077002,-0.743,-0.037,0.138,-26.131,188.067,14.000
2025-03-12 10:09:02.129183,-0.663,-0.051,0.158,-27.810,196.902,21.141
2025-03-12 10:09:02.181007,-0.661,-0.022,0.183,-27.924,186.458,20.081
2025-03-12 10:09:02.234025,-0.669,-0.007,0.209,-25.322,187.533,9.178
2025-03-12 10:09:02.284905,-0.787,-0.047,0.188,-26.253,176.799,-2.701
2025-03-12 10:09:02.338816,-0.865,-0.016,0.157,-26.963,176.310,-10.323
2025-03-12 10:09:02.391057,-1.031,-0.037,0.075,-29.282,171.023,-12.825
2025-03-12 10:09:02.442284,-1.079,-0.044,-0.025,-31.701,204.746,-16.228
2025-03-12 10:09:02.494585,-1.066,-0.020,-0.008,-37.499,243.458,-21.111
2025-03-12 10:09:02.546061,-0.844,-0.074,0.008,-41.390,247.318,-12.520
2025-03-12 10:09:02.599199,-0.850,-0.066,0.094,-31.502,242.084,-5.501
2025-03-12 10:09:02.651128,-0.794,-0.056,0.125,-16.930,195.323,-7.202
2025-03-12 10:09:02.703230,-0.862,-0.077,0.097,-0.534,148.714,-17.037
2025-03-12 10:09:02.753984,-0.934,-0.131,-0.154,13.840,144.266,-29.648
2025-03-12 10:09:02.806550,-1.004,-0.071,-0.200,22.858,165.812,-41.627
2025-03-12 10:09:02.859053,-1.060,-0.045,-0.231,21.164,189.982,-58.022
2025-03-12 10:09:02.911599,-0.887,-0.105,-0.226,14.351,212.413,-66.346
2025-03-12 10:09:02.964094,-0.715,-0.138,-0.233,12.436,202.678,-62.371
2025-03-12 10:09:03.016079,-0.613,-0.119,-0.164,17.685,163.081,-43.977
2025-03-12 10:09:03.067147,-0.594,-0.069,-0.148,25.406,102.815,-39.269
2025-03-12 10:09:03.120056,-0.566,-0.051,-0.153,28.031,61.471,-43.305
2025-03-12 10:09:03.172315,-0.582,-0.035,-0.164,25.566,25.582,-49.462
2025-03-12 10:09:03.225577,-0.592,-0.089,-0.272,21.645,6.355,-54.566
2025-03-12 10:09:03.277530,-0.682,-0.217,-0.298,21.004,-5.913,-62.715
2025-03-12 10:09:03.328980,-0.599,-0.208,-0.361,19.623,-5.577,-68.475
2025-03-12 10:09:03.380950,-0.605,-0.217,-0.258,14.748,-13.848,-60.021
2025-03-12 10:09:03.432978,-0.585,-0.096,-0.154,8.301,-58.114,-42.473
2025-03-12 10:09:03.485387,-0.593,0.025,-0.098,4.135,-119.623,-22.225
