timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
868,-0.126098,-0.011289,0.875942,-2.810620,-1.013714,0.320003
873,-0.129271,-0.014218,0.869108,-2.688474,-0.922104,0.381077
879,-0.130247,-0.015194,0.866180,-2.871693,-1.120592,0.518491
884,-0.132932,-0.013486,0.870817,-2.810620,-0.983177,0.258930
890,-0.131956,-0.013730,0.870817,-2.688474,-1.044250,0.365808
895,-0.131956,-0.012998,0.878138,-2.596863,-1.151128,0.381077
901,-0.130247,-0.012510,0.868376,-2.688474,-1.074787,0.289467
906,-0.126830,-0.014950,0.866912,-2.749546,-1.090055,0.472686
912,-0.119509,-0.014706,0.875942,-2.703742,-1.151128,0.289467
917,-0.134396,-0.011289,0.878383,-2.749546,-1.135860,0.365808
923,-0.126830,-0.010313,0.873013,-2.703742,-1.028982,0.320003
928,-0.128783,-0.018367,0.875210,-2.657937,-1.181665,0.365808
933,-0.133176,-0.006896,0.873501,-2.795351,-1.028982,0.350540
939,-0.127563,-0.009581,0.873501,-2.642668,-1.303811,0.503223
944,-0.134884,-0.012998,0.871549,-2.627400,-1.227470,0.243662
950,-0.127319,-0.017879,0.862031,-2.764815,-1.105323,0.411613
955,-0.129027,-0.017635,0.875942,-2.734278,-1.166397,0.243662
961,-0.130003,-0.015194,0.872525,-2.612132,-0.906835,0.487955
966,-0.128051,-0.010069,0.873501,-2.749546,-1.044250,0.411613
972,-0.134152,-0.011045,0.882043,-2.810620,-1.090055,0.579565
977,-0.131468,-0.014706,0.872525,-2.596863,-1.120592,0.350540
983,-0.133176,-0.013486,0.865692,-2.749546,-0.922104,0.472686
988,-0.127563,-0.015926,0.880579,-2.673205,-1.273275,0.472686
994,-0.134640,-0.008117,0.864715,-2.688474,-1.151128,0.350540
999,-0.124634,-0.012998,0.855685,-2.688474,-1.151128,0.533760
1005,-0.124878,-0.015926,0.869108,-2.489985,-0.922104,0.396345
1010,-0.131712,-0.020807,0.848119,-2.383107,-0.967909,0.518491
1016,-0.129027,-0.012265,0.859102,-2.184619,-0.723616,0.487955
1021,-0.131223,-0.011289,0.871305,-2.154083,-0.937372,0.426881
1027,-0.126830,-0.011045,0.959410,-2.703742,-0.540396,0.442150
1032,-0.133664,-0.013486,0.886436,-2.352571,-0.693079,0.365808
1038,-0.133176,-0.014462,0.866668,-2.551059,-0.891567,0.518491
1043,-0.130979,-0.015926,0.873501,-2.780083,-1.517568,0.289467
1049,-0.122926,-0.019587,0.853001,-2.551059,-0.784689,0.396345
1055,-0.124146,-0.014950,0.862763,-2.902230,-1.059519,0.182589
1060,-0.126830,-0.012998,0.856417,-2.795351,-1.059519,0.457418
1066,-0.131956,-0.014218,0.876918,-2.795351,-1.502299,0.320003
1071,-0.132932,-0.011777,0.875698,-2.719010,-1.166397,0.396345
1077,-0.129515,-0.014218,0.870329,-2.657937,-0.906835,0.243662
1082,-0.132444,-0.008605,0.871549,-2.505254,-0.738884,0.426881
1088,-0.123658,-0.018123,0.861543,-2.322034,-0.677811,0.426881
1093,-0.128539,-0.013242,0.865447,-2.520522,-1.028982,0.365808
1099,-0.124878,-0.018367,0.862519,-2.383107,-0.937372,0.335272
1104,-0.130491,-0.017879,0.859102,-2.505254,-0.922104,0.365808
1110,-0.130003,-0.006408,0.880335,-2.719010,-0.845762,0.381077
1116,-0.135372,-0.007872,0.883020,-2.459449,-0.784689,0.426881
1121,-0.133908,-0.014706,0.883264,-2.459449,-0.906835,0.457418
1127,-0.133664,-0.010801,0.868864,-2.596863,-0.967909,0.274199
1132,-0.128295,-0.010801,0.881067,-2.719010,-0.799957,0.365808
1138,-0.130979,-0.009337,0.872037,-2.719010,-1.151128,0.487955
1143,-0.129027,-0.011289,0.865936,-2.581595,-1.242738,0.136784
1149,-0.127319,-0.008849,0.880091,-2.749546,-1.090055,0.243662
1154,-0.131956,-0.013974,0.869596,-2.535790,-0.937372,0.365808
1160,-0.131956,-0.014462,0.870573,-2.810620,-0.861031,0.381077
1166,-0.137813,-0.008605,0.869352,-2.673205,-0.815226,0.533760
1171,-0.129271,-0.003479,0.876918,-2.749546,-0.937372,0.365808
1177,-0.129027,-0.010069,0.878383,-2.642668,-1.135860,0.243662
1182,-0.130003,-0.013486,0.869108,-2.703742,-1.013714,0.365808
1188,-0.128295,-0.015438,0.868132,-2.505254,-0.799957,0.411613
1193,-0.129515,-0.012754,0.871061,-2.688474,-0.906835,0.472686
1199,-0.133420,-0.013242,0.871549,-2.749546,-0.983177,0.289467
1204,-0.131468,-0.013974,0.859346,-2.596863,-1.090055,0.396345
1210,-0.132200,-0.013730,0.874478,-2.688474,-0.906835,0.167320
1215,-0.127563,-0.009825,0.873257,-2.627400,-1.120592,0.136784
1221,-0.121461,-0.015682,0.873501,-2.673205,-0.861031,0.411613
1227,-0.128539,-0.012998,0.873745,-2.673205,-1.013714,0.518491
